x,y,Album,value,yearSpan,y2,x2,line
1960,0,"Nous les gars, nous les filles",25,1960,1,1961,0
1960,1,Salut les copains,20,1960,2,1961,0
1960,2,Sings America's Rockin' Hits,20,1960,1,1962,0
1960,3,Les Bras en croix,45,1960,1,1963,0
1960,4,Johnny Hallyday Olympia 64,55,1960,1,1964,0
1960,5,Hallelujah,39,1960,1,1966,0
1960,0,La Génération perdue,18,1960,2,1966,1
1960,1,Olympia 67,15,1960,1,1967,1
1960,2,Johnny au Palais des sports,0,1960,2,1967,1
1960,3,Jeune homme,1,1960,1,1968,1
1960,4,Rêve et amour,1,1960,2,1968,1
1970,0,Vie,2,1970,1,1970,0
1970,1,Flagrant délit,1,1970,1,1971,0
1970,2,"Country, Folk, Rock",2,1970,1,1972,0
1970,3,Insolitudes,1,1970,1,1973,0
1970,4,"Je t'aime, je t'aime, je t'aime",1,1970,1,1974,0
1970,5,Rock'n'Slow,2,1970,2,1974,0
1970,6,Rock à Memphis,1,1970,1,1975,0
1970,7,La Terre promise,1,1970,2,1975,0
1970,0,Derrière l’amour,1,1970,1,1976,1
1970,1,Johnny Hallyday Story - Palais des sports,0,1970,2,1976,1
1970,2,Hamlet,5,1970,3,1976,1
1970,3,C'est la vie,5,1970,1,1977,1
1970,4,Solitudes à deux,1,1970,1,1978,1
1970,5,Hollywood,2,1970,1,1979,1
1970,6,Pavillon de Paris: Porte de Pantin,2,1970,2,1979,1
1980,0,À partir de maintenant,7,1980,1,1980,0
1980,1,En pièces détachées,2,1980,1,1981,0
1980,2,Live,2,1980,2,1981,0
1980,3,Pas facile,2,1980,3,1981,0
1980,4,Quelque part un aigle,3,1980,1,1982,0
1980,5,La Peur,2,1980,2,1982,0
1980,6,Palais Des Sports 82,4,1980,3,1982,0
1980,7,Entre violence et violon,3,1980,1,1983,0
1980,8,En V.O.,0,1980,2,1983,0
1980,0,Hallyday 84: Nashville en Direct,3,1980,1,1984,1
1980,1,Drôle de métier,0,1980,2,1984,1
1980,2,Spécial Enfants du Rock,0,1980,3,1984,1
1980,3,Johnny Hallyday au Zénith,2,1980,4,1984,1
1980,4,Rock'n'Roll Attitude,2,1980,1,1985,1
1980,5,Gang,5,1980,1,1986,1
1980,6,Johnny à Bercy,1,1980,1,1988,1
1980,7,Live at Montreux,1,1980,2,1988,1
1980,8,Cadillac,1,1980,1,1989,1
1990,0,Ça ne change pas un homme,3,1990,1,1991,0
1990,1,Bercy 92,2,1990,1,1993,0
1990,2,Parc des Princes 1993,1,1990,2,1993,0
1990,3,Rough Town,1,1990,1,1994,0
1990,4,À La Cigale (live 1994),0,1990,2,1994,0
1990,5,Lorada,2,1990,1,1995,0
1990,0,Lorada Tour,1,1990,1,1996,1
1990,1,Destination Vegas,4,1990,2,1996,1
1990,2,Ce que je sais,2,1990,1,1998,1
1990,3,Stade de France 98 Johnny allume le feu,2,1990,2,1998,1
1990,4,Sang pour sang,1,1990,1,1999,1
2000,0,100 % Johnny : Live à la Tour Eiffel,1,2000,1,2000,0
2000,1,Olympia 2000,8,2000,2,2000,0
2000,2,"À la vie, à la mort !",1,2000,1,2002,0
2000,3,Parc des Princes 2003,1,2000,1,2003,0
2000,4,Ma Vérité,1,2000,1,2005,0
2000,0,Flashback Tour: Palais des sports 2006,1,2000,1,2006,1
2000,1,La Cigale : 12-17 décembre 2006,1,2000,1,2007,1
2000,2,Le Cœur d'un homme,1,2000,2,2007,1
2000,3,Ça ne finira jamais,1,2000,1,2008,1
2000,4,Tour 66 : stade de France 2009,1,2000,1,2009,1
2010,0,Jamais seul,1,2010,1,2011,0
2010,1,L'attente,1,2010,1,2012,0
2010,2,On Stage,3,2010,1,2013,0
2010,3,Born Rocker Tour,1,2010,2,2013,0
2010,0,Rester vivant,1,2010,1,2014,1
2010,1,De l’amour,1,2010,1,2015,1
2010,2,Rester vivant tour,3,2010,1,2016,1
