x,y,Album,value,Belgique,Suisse
1961,1,"Nous les gars, nous les filles",25,0,0
1961,2,Salut les copains,20,0,0
1962,1,Sings America's Rockin' Hits,20,0,0
1963,1,Les Bras en croix,45,0,0
1964,1,Johnny Hallyday Olympia 64,55,0,0
1966,1,Hallelujah,39,0,0
1966,2,La Génération perdue,18,19,97
1967,1,Olympia 67,15,0,0
1967,2,Johnny au Palais des sports,0,0,0
1968,1,Jeune homme,1,0,0
1968,2,Rêve et amour,1,0,0
1970,1,Vie,2,0,0
1971,1,Flagrant délit,1,0,0
1972,1,"Country, Folk, Rock",2,0,0
1973,1,Insolitudes,1,0,0
1974,1,"Je t'aime, je t'aime, je t'aime",1,0,0
1974,2,Rock'n'Slow,2,0,0
1975,1,Rock à Memphis,1,0,0
1975,2,La Terre promise,1,0,0
1976,1,Derrière l'amour,1,0,0
1976,2,Johnny Hallyday Story - Palais des sports,0,0,0
1976,3,Hamlet,5,0,0
1977,1,C'est la vie,5,0,0
1978,1,Solitudes à deux,1,0,0
1979,1,Hollywood,2,0,0
1979,2,Pavillon de Paris: Porte de Pantin,2,0,0
1980,1,À partir de maintenant,7,0,0
1981,1,En pièces détachées,2,0,0
1981,2,Live,2,0,0
1981,3,Pas facile,2,0,0
1982,1,Quelque part un aigle,3,0,0
1982,2,La Peur,2,0,0
1982,3,Palais Des Sports 82,4,0,0
1983,1,Entre violence et violon,3,0,0
1983,2,En V.O.,0,0,0
1984,1,Hallyday 84: Nashville en Direct,3,0,0
1984,2,Drôle de métier,0,0,0
1984,3,Spécial Enfants du Rock,0,0,0
1984,4,Johnny Hallyday au Zénith,2,0,0
1985,1,Rock'n'Roll Attitude,2,0,0
1986,1,Gang,5,0,0
1988,1,Johnny à Bercy,1,0,0
1988,2,Live at Montreux,1,1,4
1989,1,Cadillac,1,0,0
1991,1,Ça ne change pas un homme,3,0,0
1993,1,Bercy 92,2,0,0
1993,2,Parc des Princes 1993,1,0,0
1994,1,Rough Town,1,4,5
1994,2,À La Cigale (live 1994),0,0,0
1995,1,Lorada,2,3, –
1996,1,Lorada Tour,1,6, –
1996,2,Destination Vegas,4,16, –
1998,1,Ce que je sais,2,2,38
1998,2,Stade de France 98 Johnny allume le feu,2,9, –
1999,1,Sang pour sang,1,1,47
2000,1,100 % Johnny : Live à la Tour Eiffel,1,1,12
2000,2,Olympia 2000,8,39,82
2002,1,"À la vie, à la mort !",1,1,2
2003,1,Parc des Princes 2003,1,5,40
2005,1,Ma Vérité,1,1,5
2006,1,Flashback Tour: Palais des sports 2006,1,1,9
2007,1,La Cigale : 12-17 décembre 2006,1,9,29
2007,2,Le Cœur d'un homme,1,1,4
2008,1,Ça ne finira jamais,1,1,4
2009,1,Tour 66 : stade de France 2009,1,1,25
2011,1,Jamais seul,1,1,3
2012,1,L'attente,1,1, –
2013,1,On Stage,3,2,25
2013,2,Born Rocker Tour,1,0,0
2014,1,Rester vivant,1,1,5
2015,1,De l'amour,1,1,4
2016,1,Rester vivant tour,3,3,16
